run,group,dataset,arm,lr,rec,clock,seed,is_audit,validation_mrr,test_mrr,test_hits10,best_track_epoch,train_epochs_run,params_total,params_active,query_audit_affected_total,query_audit_parity,retained_test_mrr,replay_minus_retained_test,reused_retained,finished
forum_diag_recoff_s43,forum,thgl-forum,diagssm-ordinary,0.001,off,global,43,False,0.2870038804767809,0.2727930385046671,0.5263744823217228,4,4.0,11390.0,11262.0,0.0,True,,,False,2026-09-22 15:31
forum_diag_recoff_s44,forum,thgl-forum,diagssm-ordinary,0.001,off,global,44,False,0.4121583332936886,0.4044901648000578,0.551041865259029,1,4.0,11390.0,11262.0,0.0,True,,,False,2026-09-22 21:13
forum_diag_recoff_s45,forum,thgl-forum,diagssm-ordinary,0.001,off,global,45,False,0.3831444938883845,0.3763516967954452,0.5046922354702673,1,4.0,11390.0,11262.0,0.0,True,,,False,2026-09-22 20:56
forum_diag_recoff_s46,forum,thgl-forum,diagssm-ordinary,0.001,off,global,46,False,0.4201303377100226,0.4174767553190865,0.5614668434235619,2,4.0,11390.0,11262.0,0.0,True,,,False,2026-09-22 16:15
forum_diag_recoff_s47,forum,thgl-forum,diagssm-ordinary,0.001,off,global,47,False,0.4103686895534771,0.4023891365318135,0.5728820971437033,2,4.0,11390.0,11262.0,0.0,True,,,False,2026-09-22 15:20
forum_diag_recon_s43,forum,thgl-forum,diagssm-ordinary,0.001,on,global,43,False,0.6330845286216829,0.6444358640534109,0.6974315404055381,4,4.0,11519.0,11391.0,0.0,True,,,False,2026-09-22 16:25
forum_diag_recon_s44,forum,thgl-forum,diagssm-ordinary,0.001,on,global,44,False,0.6346351723995581,0.6429508057481556,0.6921277128118305,2,4.0,11519.0,11391.0,0.0,True,,,False,2026-09-22 21:36
forum_diag_recon_s45,forum,thgl-forum,diagssm-ordinary,0.001,on,global,45,False,0.6492820469900007,0.6564373006782418,0.7006919583121822,3,4.0,11519.0,11391.0,0.0,True,,,False,2026-09-22 21:35
forum_diag_recon_s46,forum,thgl-forum,diagssm-ordinary,0.001,on,global,46,False,0.6312237196505405,0.6429305860421158,0.704806556170426,3,4.0,11519.0,11391.0,0.0,True,,,False,2026-09-22 15:50
forum_diag_recon_s47,forum,thgl-forum,diagssm-ordinary,0.001,on,global,47,False,0.6414284596786567,0.6504778210844007,0.7099540827793089,4,4.0,11519.0,11391.0,0.0,True,,,False,2026-09-22 15:29
