tag,split,queries,snapshots,candidates,pad_masked,pos_nonfinite,pos_nan,pos_posinf,pos_neginf,neg_nan,neg_posinf,neg_neginf,queries_with_invalid_neg,queries_affected,transformed_scores,rr_tgb_raw,rr_guarded,rr_conservative,hits_guarded,state_nonfinite_snapshots,rec_nonfinite_snapshots,mrr_tgb_raw,mrr_guarded,mrr_conservative,hits10_guarded,parity_raw_vs_guarded,parity_guarded_vs_conservative,run,group
sw_f_s47,test,223471,125,223471000,0,0,0,0,0,0,0,0,0,0,0,97625.94562991663,97625.94562991663,97625.94562991663,106024.0,0,0,0.436861810391132,0.436861810391132,0.436861810391132,0.4744418738896769,True,True,sw_f_s47,audit
wd_f_s43,val,2869900,12,2869900000,0,0,0,0,0,0,0,0,0,0,0,1848304.2823282187,1848304.2823282187,1848304.2823282187,1991941.0,0,0,0.6440309008426143,0.6440309008426143,0.6440309008426143,0.6940802815429109,True,True,wd_f_s43,audit
wd_f_s43,test,2877500,14,2877500000,0,0,0,0,0,0,0,0,0,0,0,1545443.7496832763,1545443.7496832763,1545443.7496832763,1731672.0,0,0,0.5370786271705565,0.5370786271705565,0.5370786271705565,0.601797393570808,True,True,wd_f_s43,audit
wd_f_s46,val,2869900,12,2869900000,0,0,0,0,0,0,0,0,0,0,0,1838930.0510852016,1838930.0510852016,1838930.0510852016,1992746.0,0,0,0.6407645043678183,0.6407645043678183,0.6407645043678183,0.6943607791212237,True,True,wd_f_s46,audit
wd_f_s46,test,2877500,14,2877500000,0,0,0,0,0,0,0,0,0,0,0,1582730.6466265542,1582730.6466265542,1582730.6466265542,1785880.0,0,0,0.5500367147268651,0.5500367147268651,0.5500367147268651,0.6206359687228497,True,True,wd_f_s46,audit
wd_f_s47,val,2869900,12,2869900000,0,0,0,0,0,0,0,0,0,0,0,1838082.7761879896,1838082.7761879896,1838082.7761879896,1985547.0,0,0,0.6404692763469074,0.6404692763469074,0.6404692763469074,0.6918523293494547,True,True,wd_f_s47,audit
wd_f_s47,test,2877500,14,2877500000,0,0,0,0,0,0,0,0,0,0,0,1531708.2720335757,1531708.2720335757,1531708.2720335757,1712576.0,0,0,0.5323052205155779,0.5323052205155779,0.5323052205155779,0.595161077324066,True,True,wd_f_s47,audit
wiki_f_s43,val,23621,593,23597377,2,0,0,0,0,0,0,0,0,0,0,17765.806059077517,17765.806059077517,17765.806059077517,20611.0,0,0,0.7521191337825459,0.7521191337825459,0.7521191337825459,0.872571017315101,True,True,wiki_f_s43,audit
wiki_f_s43,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17377.9925198495,17377.9925198495,17377.9925198495,20025.0,0,0,0.7357009660831252,0.7357009660831252,0.7357009660831252,0.8477625841412303,True,True,wiki_f_s43,audit
wiki_f_s46,val,23621,593,23597377,2,0,0,0,0,0,0,0,0,0,0,17590.895721692923,17590.895721692923,17590.895721692923,20630.0,0,0,0.7447142678842099,0.7447142678842099,0.7447142678842099,0.8733753863087931,True,True,wiki_f_s46,audit
wiki_f_s46,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17256.27723332948,17256.27723332948,17256.27723332948,20075.0,0,0,0.7305481238444385,0.7305481238444385,0.7305481238444385,0.8498793446509462,True,True,wiki_f_s46,audit
wiki_f_s47,val,23621,593,23597377,2,0,0,0,0,0,0,0,0,0,0,17569.403538884788,17569.403538884788,17569.403538884788,20639.0,0,0,0.7438043918074928,0.7438043918074928,0.7438043918074928,0.8737564032005419,True,True,wiki_f_s47,audit
wiki_f_s47,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17315.965070849146,17315.965070849146,17315.965070849146,20098.0,0,0,0.7330750209918778,0.7330750209918778,0.7330750209918778,0.8508530544854155,True,True,wiki_f_s47,audit
forum_attention_rec_s43,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2197957.2644541264,2197957.2644541264,2197957.2644541264,2391928.0,0,0,0.6032282021128564,0.6032282021128564,0.6032282021128564,0.6564633673083479,True,True,forum_attention_rec_s43,forum
forum_attention_rec_s43,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2195741.8400339214,2195741.8400339214,2195741.8400339214,2349175.0,0,0,0.6161491705376257,0.6161491705376257,0.6161491705376257,0.6592041930008337,True,True,forum_attention_rec_s43,forum
forum_attention_recoff_s46,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1267715.1442114292,1267715.1442114292,1267715.1442114292,2087015.0,0,0,0.3479237470178126,0.3479237470178126,0.3479237470178126,0.5727801566447784,True,True,forum_attention_recoff_s46,forum
