study,parameter,value,value_label,experiment_name,best_epoch_mean,best_epoch_std,best_epoch_count,best_train_metric_mean,best_train_metric_std,best_train_metric_count,best_val_metric_mean,best_val_metric_std,best_val_metric_count,best_test_metric_mean,best_test_metric_std,best_test_metric_count,best_train_loss_mean,best_train_loss_std,best_train_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_count,best_test_loss_mean,best_test_loss_std,best_test_loss_count,search_best_test_metric_mean,search_best_test_metric_std,search_best_test_metric_count,search_best_val_loss_mean,search_best_val_loss_std,search_best_val_loss_count
sensitivity,Diffusion Layers,2.0,2.0,layers=2,132.0,23.108440016582684,5,,,0,0.9972851850408604,0.0006685463981164528,5,0.9972851850408604,0.0006685463981164528,5,,,0,1.8184981107711793,0.007845790711624182,5,1.8184981107711793,0.007845790711624182,5,0.9972851850408604,0.0006685463981164528,5,1.8184980869293212,0.00784577715433811,5
sensitivity,Diffusion Layers,3.0,3.0,layers=3,107.6,15.517731793016656,5,,,0,0.9955683730754863,0.004554527676598883,5,0.9955683730754863,0.004554527676598883,5,,,0,1.829223084449768,0.02451566297123729,5,1.829223084449768,0.02451566297123729,5,0.9955683730754863,0.004554527676598883,5,1.8292231559753418,0.02451574568577405,5
sensitivity,Diffusion Layers,4.0,4.0,layers=4,145.2,36.676968249843114,5,,,0,0.9973203209354529,0.0014939774527973609,5,0.9973203209354529,0.0014939774527973609,5,,,0,1.816354751586914,0.005731646126147144,5,1.8163547277450562,0.005731736407497224,5,0.9973203209354529,0.0014939774527973609,5,1.816354751586914,0.005731646126147144,5
sensitivity,Learning Rate,0.0062439703534519,0.0062439703534519,lr=0.006243970353451912,158.0,24.535688292770594,5,,,0,0.9990227425464194,0.0003752430343070316,5,0.9990227425464194,0.0003752430343070316,5,,,0,1.8053796768188477,0.0037178735168655434,5,1.8053797006607055,0.0037179137731870324,5,0.9990227425464194,0.0003752430343070316,5,1.8053796768188477,0.0037178735168655434,5
sensitivity,Learning Rate,0.0124879407069038,0.0124879407069038,lr=0.012487940706903825,124.4,22.199099080818574,5,,,0,0.9976246059542081,0.0010224926285804137,5,0.9976246059542081,0.0010224926285804137,5,,,0,1.8186065435409546,0.009252511967963192,5,1.8186065435409546,0.009252511967963192,5,0.9976246059542081,0.0010224926285804137,5,1.8186065435409546,0.009252511967963192,5
sensitivity,Learning Rate,0.0187319110603557,0.0187319110603557,lr=0.018731911060355738,155.6,28.12116640539649,5,,,0,0.9939066606901326,0.0036459214005773836,5,0.9939066606901326,0.0036459214005773836,5,,,0,1.839104962348938,0.02094386588730069,5,1.839104986190796,0.020943914270853486,5,0.9939066606901326,0.0036459214005773836,5,1.839104986190796,0.020943914270853486,5
sensitivity,BPTT Steps,4.0,4.0,temporal_bptt_steps=4,118.4,14.993331851193052,5,,,0,0.9968985485276207,0.0018145991616279715,5,0.9968985485276207,0.0018145991616279715,5,,,0,1.8208112955093383,0.00884558872429787,5,1.8208112716674805,0.008845464425921337,5,0.9968985485276207,0.0018145991616279715,5,1.8208112716674805,0.00884548932128963,5
sensitivity,BPTT Steps,8.0,8.0,temporal_bptt_steps=8,122.8,30.938648968563573,5,,,0,0.9972917756211814,0.0010505749594936107,5,0.9972917756211814,0.0010505749594936107,5,,,0,1.8197739601135254,0.009619355334532273,5,1.8197739601135254,0.009619355334532273,5,0.9972917756211814,0.0010505749594936107,5,1.8197740077972413,0.009619451131828546,5
sensitivity,BPTT Steps,16.0,16.0,temporal_bptt_steps=16,133.6,31.540450218727063,5,,,0,0.9977842581607973,0.0003674755721980113,5,0.9977842581607973,0.0003674755721980113,5,,,0,1.8158424854278565,0.0050806563206904345,5,1.8158424854278565,0.0050806563206904345,5,0.9977842581607973,0.0003674755721980113,5,1.8158424615859985,0.005080618838810518,5
sensitivity,Temporal Hidden Size,16.0,16.0,temporal_d_model=16,144.4,12.680693987317888,5,,,0,0.9961832110330313,0.0012672895982332349,5,0.9961832110330313,0.0012672895982332349,5,,,0,1.823338794708252,0.007655104017472608,5,1.823338794708252,0.007655104017472608,5,0.9961832110330313,0.0012672895982332349,5,1.823338794708252,0.007655104017472608,5
sensitivity,Temporal Hidden Size,32.0,32.0,temporal_d_model=32,141.2,27.224988521577007,5,,,0,0.9978278442723767,0.0011416755329147663,5,0.9978278442723767,0.0011416755329147663,5,,,0,1.813338828086853,0.00825695253943539,5,1.8133388757705688,0.008256875438420585,5,0.9978278442723767,0.0011416755329147663,5,1.813338851928711,0.008256980758086875,5
sensitivity,Temporal Hidden Size,64.0,64.0,temporal_d_model=64,117.6,32.78414250823102,5,,,0,0.9941567797686386,0.0034591187607529257,5,0.9941567797686386,0.0034591187607529257,5,,,0,1.8370538473129272,0.018906852442137117,5,1.837053894996643,0.018906915923940483,5,0.9941567797686386,0.0034591187607529257,5,1.837053894996643,0.018906915923940483,5
sensitivity,Snapshot Time Window,1.0,1.0,time_window=1,143.6,61.390553019173886,5,,,0,0.715228326838059,0.1352493843744969,5,0.7848630450729269,0.13496587934413112,5,,,0,3.0286229133605955,0.5262981361888309,5,2.677806520462036,0.4337424228994366,5,0.7729126788197973,0.13545479888458012,5,2.8541057109832764,0.4439165155355911,5
sensitivity,Snapshot Time Window,3.0,3.0,time_window=3,129.6,18.022208521710095,5,,,0,0.9975174741485973,0.0014989852184612439,5,0.9975174741485973,0.0014989852184612439,5,,,0,1.8163694381713866,0.009627131334732857,5,1.8163694858551025,0.009627219349867417,5,0.9975174741485973,0.0014989852184612439,5,1.8163694858551025,0.00962716066279379,5
sensitivity,Snapshot Time Window,5.0,5.0,time_window=5,137.2,20.029977533686854,5,,,0,0.9980491008325891,0.0005287441237103118,5,0.9980491008325891,0.0005287441237103118,5,,,0,1.8132856607437133,0.006857285798630308,5,1.8132857084274292,0.006857267846881928,5,0.9980491008325891,0.0005287441237103118,5,1.8132856130599975,0.006857292397477554,5
sensitivity,Weight Decay,1.9841764044695802e-08,1.9841764044695802e-08,weight_decay=1.9841764044695802e-08,128.4,13.885243966167824,5,,,0,0.9974219528537285,0.0016909930674757919,5,0.9974220241006335,0.0016910493499076708,5,,,0,1.816884994506836,0.009335864935458371,5,1.816884994506836,0.009335864935458371,5,0.9974220241006335,0.0016910493499076708,5,1.8168849229812623,0.00933586691642151,5
sensitivity,Weight Decay,1.98417640446958e-07,1.98417640446958e-07,weight_decay=1.98417640446958e-07,121.2,34.017642481512446,5,,,0,0.9970249087045628,0.0013718546557825097,5,0.9970249087045628,0.0013718546557825097,5,,,0,1.8216523885726932,0.012809563335617865,5,1.821652364730835,0.012809513474133194,5,0.9970249087045628,0.0013718546557825097,5,1.821652340888977,0.012809389305493891,5
sensitivity,Weight Decay,1.98417640446958e-06,1.98417640446958e-06,weight_decay=1.9841764044695798e-06,122.8,27.878306978724517,5,,,0,0.9972240664366998,0.0013847030431164906,5,0.9972240664366998,0.0013847030431164906,5,,,0,1.8203188180923462,0.012251475720461931,5,1.8203187465667725,0.012251442534412583,5,0.9972240664366998,0.0013847030431164906,5,1.8203187704086303,0.012251493470742376,5
