batch,shift_sec,queries,neural_changed_frac,neural_mean_abs_delta,rec_changed_frac,pos_rec_mean,neg_rec_mean,pos_total_mean,mrr,rec_nonzero_frac,pos_rec_delta_vs_t0,mrr_delta_vs_t0
16,0.0,31,0.0,0.0,,5.13336181640625,0.01832461729645729,8.257258415222168,0.4040171504020691,0.5806451439857483,0.0,0.0
16,3600.0,31,0.0,0.0,,5.104896545410156,0.018306482583284378,8.228793144226074,0.4040171504020691,0.5806451439857483,-0.02846527099609375,0.0
16,86400.0,31,0.0,0.0,,4.885514736175537,0.01799161545932293,8.009411811828613,0.4040171504020691,0.5806451439857483,-0.2478470802307129,0.0
16,2592000.0,31,0.0,0.0,,4.3680219650268555,0.01622920110821724,7.491918563842773,0.40527164936065674,0.5806451439857483,-0.7653398513793945,0.0012544989585876465
17,0.0,32,0.0,0.0,,6.885846138000488,0.011830776929855347,9.989102363586426,0.6695328950881958,0.875,0.0,0.0
17,3600.0,32,0.0,0.0,,6.859006881713867,0.011817872524261475,9.962263107299805,0.6695328950881958,0.875,-0.026839256286621094,0.0
17,86400.0,32,0.0,0.0,,6.583830833435059,0.01160795334726572,9.68708610534668,0.6695328950881958,0.875,-0.3020153045654297,0.0
17,2592000.0,32,0.0,0.0,,5.804660797119141,0.010440444573760033,8.907917022705078,0.6695336103439331,0.875,-1.0811853408813477,7.152557373046875e-07
18,0.0,43,0.0,0.0,,6.448043346405029,0.006831971928477287,9.279448509216309,0.6904675364494324,0.7674418687820435,0.0,0.0
18,3600.0,43,0.0,0.0,,6.425108909606934,0.006823805160820484,9.256513595581055,0.6904675364494324,0.7674418687820435,-0.022934436798095703,0.0
18,86400.0,43,0.0,0.0,,6.195122241973877,0.006691511254757643,9.02652645111084,0.6904675364494324,0.7674418687820435,-0.25292110443115234,0.0
18,2592000.0,43,0.0,0.0,,5.51735258102417,0.005950063467025757,8.348756790161133,0.6904675364494324,0.7674418687820435,-0.9306907653808594,0.0
19,0.0,42,0.0,0.0,,7.07749080657959,0.013249572366476059,9.512018203735352,0.6453176140785217,0.8333333730697632,0.0,0.0
19,3600.0,42,0.0,0.0,,7.055002212524414,0.013224229216575623,9.489529609680176,0.6445239782333374,0.8333333730697632,-0.02248859405517578,-0.0007936358451843262
19,86400.0,42,0.0,0.0,,6.830950736999512,0.012917624786496162,9.265478134155273,0.6445239782333374,0.8333333730697632,-0.24654006958007812,-0.0007936358451843262
19,2592000.0,42,0.0,0.0,,6.125995635986328,0.011600841768085957,8.560523986816406,0.6451475620269775,0.8333333730697632,-0.9514951705932617,-0.00017005205154418945
