study,parameter,value,value_label,experiment_name,best_epoch_mean,best_epoch_std,best_epoch_count,best_train_metric_mean,best_train_metric_std,best_train_metric_count,best_val_metric_mean,best_val_metric_std,best_val_metric_count,best_test_metric_mean,best_test_metric_std,best_test_metric_count,best_train_loss_mean,best_train_loss_std,best_train_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_count,best_test_loss_mean,best_test_loss_std,best_test_loss_count,search_best_test_metric_mean,search_best_test_metric_std,search_best_test_metric_count,search_best_val_loss_mean,search_best_val_loss_std,search_best_val_loss_count
sensitivity,lr,0.012487940706903825,0.012487940706903825,lr=0.012487940706903825,124.4,22.199099080818574,5,,,0,0.9976246059542081,0.0010224926285803877,5,0.9976246059542081,0.0010224926285803877,5,,,0,1.8186065435409546,0.009252511967963069,5,1.8186065435409546,0.009252511967963069,5,0.9976246059542081,0.0010224926285803877,5,1.8186065435409546,0.009252511967963069,5
sensitivity,lr,0.018731911060355738,0.018731911060355738,lr=0.018731911060355738,155.6,28.12116640539649,5,,,0,0.9939066606901326,0.0036459214005774053,5,0.9939066606901326,0.0036459214005774053,5,,,0,1.839104962348938,0.02094386588730066,5,1.839104986190796,0.0209439142708535,5,0.9939066606901326,0.0036459214005774053,5,1.839104986190796,0.0209439142708535,5
sensitivity,temporal_bptt_steps,16.0,16,temporal_bptt_steps=16,133.6,31.540450218727063,5,,,0,0.9977842581607973,0.0003674755721980113,5,0.9977842581607973,0.0003674755721980113,5,,,0,1.8158424854278565,0.005080656320690463,5,1.8158424854278565,0.005080656320690463,5,0.9977842581607973,0.0003674755721980113,5,1.8158424615859985,0.005080618838810496,5
sensitivity,temporal_bptt_steps,4.0,4,temporal_bptt_steps=4,118.4,14.993331851193052,5,,,0,0.9968985485276207,0.001814599161627986,5,0.9968985485276207,0.001814599161627986,5,,,0,1.8208112955093383,0.008845588724297925,5,1.8208112716674805,0.008845464425921486,5,0.9968985485276207,0.001814599161627986,5,1.8208112716674805,0.008845489321289788,5
sensitivity,temporal_bptt_steps,8.0,8,temporal_bptt_steps=8,122.8,30.938648968563573,5,,,0,0.9972917756211814,0.0010505749594936662,5,0.9972917756211814,0.0010505749594936662,5,,,0,1.8197739601135254,0.00961935533453215,5,1.8197739601135254,0.00961935533453215,5,0.9972917756211814,0.0010505749594936662,5,1.8197740077972413,0.009619451131828423,5
sensitivity,temporal_d_model,16.0,16,temporal_d_model=16,144.4,12.680693987317888,5,,,0,0.9961832110330315,0.0012672895982332691,5,0.9961832110330315,0.0012672895982332691,5,,,0,1.823338794708252,0.007655104017472472,5,1.823338794708252,0.007655104017472472,5,0.9961832110330315,0.0012672895982332691,5,1.823338794708252,0.007655104017472472,5
sensitivity,temporal_d_model,32.0,32,temporal_d_model=32,141.2,27.224988521577007,5,,,0,0.9978278442723767,0.00114167553291478,5,0.9978278442723767,0.00114167553291478,5,,,0,1.813338828086853,0.008256952539435444,5,1.8133388757705688,0.008256875438420538,5,0.9978278442723767,0.00114167553291478,5,1.813338851928711,0.00825698075808682,5
sensitivity,temporal_d_model,64.0,64,temporal_d_model=64,117.6,32.78414250823102,5,,,0,0.9941567797686386,0.0034591187607529526,5,0.9941567797686386,0.0034591187607529526,5,,,0,1.8370538473129272,0.018906852442137093,5,1.837053894996643,0.018906915923940504,5,0.9941567797686386,0.0034591187607529526,5,1.837053894996643,0.018906915923940504,5
sensitivity,time_window,1.0,1,time_window=1,143.6,61.390553019173886,5,,,0,0.715228326838059,0.1352493843744969,5,0.7848630450729269,0.13496587934413115,5,,,0,3.0286229133605955,0.5262981361888309,5,2.677806520462036,0.4337424228994366,5,0.7729126788197973,0.13545479888458015,5,2.8541057109832764,0.4439165155355911,5
sensitivity,time_window,3.0,3,time_window=3,129.6,18.022208521710095,5,,,0,0.9975174741485973,0.0014989852184612896,5,0.9975174741485973,0.0014989852184612896,5,,,0,1.8163694381713866,0.009627131334732739,5,1.8163694858551025,0.009627219349867365,5,0.9975174741485973,0.0014989852184612896,5,1.8163694858551025,0.009627160662793715,5
sensitivity,time_window,5.0,5,time_window=5,137.2,20.029977533686854,5,,,0,0.998049100832589,0.0005287441237103543,5,0.998049100832589,0.0005287441237103543,5,,,0,1.8132856607437133,0.006857285798630287,5,1.8132857084274292,0.006857267846881943,5,0.998049100832589,0.0005287441237103543,5,1.8132856130599975,0.0068572923974775605,5
sensitivity,weight_decay,1.9841764044695798e-06,1.9841764044695798e-06,weight_decay=1.9841764044695798e-06,122.8,27.878306978724517,5,,,0,0.9972240664366998,0.0013847030431165367,5,0.9972240664366998,0.0013847030431165367,5,,,0,1.8203188180923462,0.012251475720461919,5,1.8203187465667725,0.012251442534412573,5,0.9972240664366998,0.0013847030431165367,5,1.8203187704086303,0.012251493470742423,5
