cell,scenario,method,segment,mean,std,count,alpha
E1_a10_N8,A,cur,end,0.3442997093975179,0.17919066347651602,50,3.0
E1_a10_N8,A,cur,post,0.2912622547897623,0.07727600762661833,50,3.0
E1_a10_N8,A,cur,pre,0.41467616803553087,0.050677377278128335,50,3.0
E1_a10_N8,A,hist,all,0.2270016074101627,0.044592633910166476,50,10.0
E1_a10_N8,A,hist,end,0.30498126635819367,0.15704438072545332,50,10.0
E1_a10_N8,A,hist,post,0.2573782227192957,0.06959380795385063,50,10.0
E1_a10_N8,A,hist,pre,0.22179340105954248,0.0681937280253247,50,10.0
E1_a10_N8,A,in,all,0.22844643579808488,0.04489778750446774,50,10.0
E1_a10_N8,A,in,end,0.3064849875493653,0.15797926082633815,50,10.0
E1_a10_N8,A,in,post,0.2586087976601428,0.06919777893378072,50,10.0
E1_a10_N8,A,in,pre,0.2235540586972093,0.06961378198294947,50,10.0
E1_a10_N8,A,legs,all,0.5006067034765231,0.0931177695452308,50,0.0
E1_a10_N8,A,legs,end,0.67342988269981,0.3519700992605478,50,0.0
E1_a10_N8,A,legs,post,0.5719125742185933,0.14134158219597603,50,0.0
E1_a10_N8,A,legs,pre,0.48585690927001585,0.14337431466024095,50,0.0
E1_a10_N8,A,point,all,0.8345168660682725,0.14961219505657825,50,1000.0
E1_a10_N8,A,point,end,0.5928395600165282,0.29462476642804414,50,1000.0
E1_a10_N8,A,point,post,0.9610620955633944,0.24204298048157824,50,1000.0
E1_a10_N8,A,point,pre,0.8078015299736222,0.2351793790726225,50,1000.0
E1_a1_N16,A,cur,all,0.33293548951820945,0.027763917977036652,50,1.0
E1_a1_N16,A,cur,end,0.3171124471770741,0.07469304604328157,50,1.0
E1_a1_N16,A,cur,post,0.31748768084729606,0.039517598205949724,50,1.0
E1_a1_N16,A,cur,pre,0.34914412198916045,0.031589158085400366,50,1.0
E1_a1_N16,A,hist,all,0.30316215649482986,0.03028421096275355,50,1.0
E1_a1_N16,A,hist,end,0.3169492480050627,0.07499789333105059,50,1.0
E1_a1_N16,A,hist,post,0.3171104182197657,0.03969513518250684,50,1.0
E1_a1_N16,A,hist,pre,0.2950394815183531,0.03828379039461913,50,1.0
E1_a1_N16,A,in,all,0.30320289258387084,0.030266749234216718,50,1.0
E1_a1_N16,A,in,end,0.31704433201895865,0.07492600586439577,50,1.0
E1_a1_N16,A,in,post,0.3171850272225326,0.03971757640097556,50,1.0
E1_a1_N16,A,in,pre,0.29505395582559674,0.03823699594057766,50,1.0
E1_a1_N16,A,legs,all,0.38144281101165367,0.0376572862716014,50,0.0
E1_a1_N16,A,legs,end,0.39583251879558895,0.09677576776685248,50,0.0
E1_a1_N16,A,legs,post,0.3993224142553934,0.05124570911146353,50,0.0
E1_a1_N16,A,legs,pre,0.37098843576443774,0.04683086860092616,50,0.0
E1_a1_N16,A,point,all,0.6816453379861384,0.052867932190021255,50,30.0
E1_a1_N16,A,point,end,0.571324388844543,0.12032777299754675,50,30.0
E1_a1_N16,A,point,post,0.7140232826100034,0.07320585572843283,50,30.0
E1_a1_N16,A,point,pre,0.6629308352768265,0.07717236816174596,50,30.0
E1_a1_N4,A,cur,all,0.35625669713608715,0.05238481829203083,50,1.0
E1_a1_N4,A,cur,end,0.38455198331818224,0.0942946618886585,50,1.0
E1_a1_N4,A,cur,post,0.36649211472574933,0.07566501202353484,50,1.0
E1_a1_N4,A,cur,pre,0.3596608549147321,0.06220837070662892,50,1.0
E1_a1_N4,A,hist,all,0.3298408844338829,0.058450412461131945,50,1.0
E1_a1_N4,A,hist,end,0.3843169934127153,0.09502257068957566,50,1.0
E1_a1_N4,A,hist,post,0.3645143792611406,0.07594697579788744,50,1.0
E1_a1_N4,A,hist,pre,0.3144499191589397,0.07507363749283419,50,1.0
E1_a1_N4,A,in,all,0.3300671743664386,0.05834325671679711,50,1.0
E1_a1_N4,A,in,end,0.3847662107106693,0.09522386759414975,50,1.0
E1_a1_N4,A,in,post,0.364876370794976,0.07582749583185665,50,1.0
E1_a1_N4,A,in,pre,0.31456481686463056,0.07489685387265232,50,1.0
E1_a1_N4,A,legs,all,0.4187382008458579,0.0761539720639899,50,0.0
