cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
E1_a1_N4,A,post,hist-cur,50,-0.001977735464608722,-0.0025850423668049034,-0.001399684146283163,41,9,-0.005396392951288151
E1_a1_N4,A,post,hist-in,50,-0.000361991533835333,-0.0007043978235208293,-2.2447533000516543e-05,32,18,-0.000992093659138964
E1_a1_N4,A,post,in-cur,50,-0.001615743930773389,-0.0023105405331377542,-0.0009371513084247315,36,14,-0.00440867310878563
E1_a1_N4,A,post,hist-legs,50,-0.09653760743899674,-0.10582761210692629,-0.08849578009440213,50,0,-0.20938551448382248
E1_a1_N4,A,post,cur-legs,50,-0.09455987197438803,-0.10337377268982478,-0.08659891521984267,50,0,-0.20509589959947105
E1_a1_N4,A,pre,hist-cur,50,-0.045210935755792374,-0.05108140258870372,-0.03940759014020452,50,0,-0.12570435491655302
E1_a1_N4,A,pre,hist-in,50,-0.0001148977056907885,-0.00041653602811031427,0.00020042675013557106,31,19,-0.0003652592392118457
E1_a1_N4,A,pre,in-cur,50,-0.045096038050101594,-0.05140654627835179,-0.0392092334786709,50,0,-0.12538489366821112
E1_a1_N4,A,pre,hist-legs,50,-0.08592751638371621,-0.09421912311008057,-0.07822133848061073,50,0,-0.21461628142768185
E1_a1_N4,A,pre,cur-legs,50,-0.04071658062792382,-0.052228670643916814,-0.029324318133421443,44,6,-0.10169549283599899
E1_a1_N8,A,all,hist-cur,50,-0.03220955893932035,-0.035831948730362446,-0.028672294716838038,50,0,-0.09526119546378897
E1_a1_N8,A,all,hist-in,50,-0.00010656688880261611,-0.0002317006159178394,1.4142166222220007e-05,31,19,-0.00034824032009670114
E1_a1_N8,A,all,in-cur,50,-0.03210299205051775,-0.03562855801395811,-0.028497671924451344,50,0,-0.094946019175802
E1_a1_N8,A,all,hist-legs,50,-0.08042025369824568,-0.08452177168059485,-0.07635216130933284,50,0,-0.2081651722478353
E1_a1_N8,A,all,cur-legs,50,-0.04821069475892533,-0.0541868343105445,-0.042519241645603,50,0,-0.12479179208183008
E1_a1_N8,A,end,hist-cur,50,-0.0003304425200101341,-0.000931837538035398,0.00030324313096076976,31,19,-0.0009328263878520072
E1_a1_N8,A,end,hist-in,50,-0.0001949123614574949,-0.0003932807619257592,-2.3728663867072278e-07,29,21,-0.0005504406156489166
E1_a1_N8,A,end,in-cur,50,-0.00013553015855263917,-0.0007861532389558909,0.0005200263250649417,27,23,-0.0003825963687838688
E1_a1_N8,A,end,hist-legs,50,-0.09370800466089366,-0.10786595951806556,-0.0797298449689178,49,1,-0.20934931716038035
E1_a1_N8,A,end,cur-legs,50,-0.09337756214088351,-0.10847383830129302,-0.0792717193616118,49,1,-0.20861108870086703
E1_a1_N8,A,post,hist-cur,50,-0.0007819838891393554,-0.0010671000794767595,-0.0004948341847936801,40,10,-0.0023802387902414545
E1_a1_N8,A,post,hist-in,50,-7.451807495508944e-05,-0.00022829463373709728,9.320257886544814e-05,31,19,-0.0002273110644519858
E1_a1_N8,A,post,in-cur,50,-0.000707465814184266,-0.0010126039706446989,-0.00039219334898273983,37,13,-0.002153417221350263
E1_a1_N8,A,post,hist-legs,50,-0.08854378140072251,-0.09474029508717116,-0.08282657762756568,50,0,-0.21269556828946304
E1_a1_N8,A,post,cur-legs,50,-0.08776179751158314,-0.09375033094886123,-0.08223805604905822,50,0,-0.2108171245968341
E1_a1_N8,A,pre,hist-cur,50,-0.05636055759278799,-0.06173953255599301,-0.050923961692295995,50,0,-0.15964059380269072
E1_a1_N8,A,pre,hist-in,50,-0.00013288042105097153,-0.000285681048638989,8.963460198344915e-06,26,24,-0.0004476818775327816
E1_a1_N8,A,pre,in-cur,50,-0.05622767717173702,-0.06160253979355244,-0.05079369498849201,50,0,-0.1592642116264426
