cell,scenario,method,alpha,segment,mean,std,count
E1_a100_N16,A,hist,100.0,post,0.14690708220016055,0.03337473523143079,50
E1_a100_N16,A,hist,100.0,pre,0.13622780779094815,0.03313954186072961,50
E1_a100_N16,A,hist,300.0,all,0.13947000630954257,0.02316717751416382,50
E1_a100_N16,A,hist,300.0,end,0.15442989129874912,0.07632412612923445,50
E1_a100_N16,A,hist,300.0,post,0.14733081989242236,0.03346400076928536,50
E1_a100_N16,A,hist,300.0,pre,0.13881810035296,0.0350603464913415,50
E1_a100_N16,A,hist,1000.0,all,0.14788255503489495,0.025267613661226238,50
E1_a100_N16,A,hist,1000.0,end,0.1574747480960143,0.07647845898969242,50
E1_a100_N16,A,hist,1000.0,post,0.15239173477962364,0.03490849210804562,50
E1_a100_N16,A,hist,1000.0,pre,0.15080013629559372,0.043100344896890824,50
E1_a100_N16,A,in,0.0,all,0.5155970702775616,0.07427474649713636,50
E1_a100_N16,A,in,0.0,end,0.559199085166187,0.23825439991309727,50
E1_a100_N16,A,in,0.0,post,0.5521100403917156,0.10855239080096435,50
E1_a100_N16,A,in,0.0,pre,0.5094984076284347,0.10643219765785641,50
E1_a100_N16,A,in,0.01,all,0.5121944078048735,0.07382971520488174,50
E1_a100_N16,A,in,0.01,end,0.5555086443906404,0.23673288754975025,50
E1_a100_N16,A,in,0.01,post,0.5484671189241012,0.10789791688040484,50
E1_a100_N16,A,in,0.01,pre,0.5061411935796313,0.10578287202911352,50
E1_a100_N16,A,in,0.03,all,0.505573035900377,0.07296809805301102,50
E1_a100_N16,A,in,0.03,end,0.5483275828266655,0.2337771162123782,50
E1_a100_N16,A,in,0.03,post,0.5413780629956062,0.106626344882637,50
E1_a100_N16,A,in,0.03,pre,0.4996080903947428,0.10452194813732037,50
E1_a100_N16,A,in,0.1,all,0.4841578850726194,0.07021621662697514,50
E1_a100_N16,A,in,0.1,end,0.5251048060185544,0.22425811461866313,50
E1_a100_N16,A,in,0.1,post,0.5184487023883529,0.10252767006481646,50
E1_a100_N16,A,in,0.1,pre,0.4784769736606155,0.10046456078260015,50
E1_a100_N16,A,in,0.3,all,0.43478524488588277,0.06400340897245818,50
E1_a100_N16,A,in,0.3,end,0.4715762408837952,0.20248674852210388,50
E1_a100_N16,A,in,0.3,post,0.4655725823953898,0.09310025578266508,50
E1_a100_N16,A,in,0.3,pre,0.4297520306704034,0.09118759429403334,50
E1_a100_N16,A,in,1.0,all,0.33520279270484665,0.05135787127501799,50
E1_a100_N16,A,in,1.0,end,0.36363417287991245,0.15880392706751562,50
E1_a100_N16,A,in,1.0,post,0.35883576469987927,0.07364668357734579,50
E1_a100_N16,A,in,1.0,pre,0.33145243439163613,0.07239085173748461,50
E1_a100_N16,A,in,3.0,all,0.23607477632718737,0.03746365888449177,50
E1_a100_N16,A,in,3.0,end,0.2561879287391777,0.115249080720434,50
E1_a100_N16,A,in,3.0,post,0.2523956538162371,0.0530398638256992,50
E1_a100_N16,A,in,3.0,pre,0.23352098216864645,0.05284586671671312,50
E1_a100_N16,A,in,10.0,all,0.17043005015339194,0.02789030959592245,50
E1_a100_N16,A,in,10.0,end,0.18531919975462582,0.08838541876858971,50
E1_a100_N16,A,in,10.0,post,0.18195675517078208,0.040368965606450764,50
E1_a100_N16,A,in,10.0,pre,0.16830617524133473,0.03939315733876686,50
E1_a100_N16,A,in,30.0,all,0.14820620010039104,0.025178746315932272,50
E1_a100_N16,A,in,30.0,end,0.1618848793634705,0.08057345499003013,50
E1_a100_N16,A,in,30.0,post,0.15835761834526788,0.037436577789524556,50
E1_a100_N16,A,in,30.0,pre,0.1458690350948697,0.03483097368338439,50
E1_a100_N16,A,in,100.0,all,0.1436501513763006,0.024693355580251018,50
E1_a100_N16,A,in,100.0,end,0.15716970880013842,0.07830858165794863,50
E1_a100_N16,A,in,100.0,post,0.1535266304891915,0.03677936227303343,50
E1_a100_N16,A,in,100.0,pre,0.14121601147302099,0.034051813842216984,50
E1_a100_N16,A,in,300.0,all,0.14441817024383613,0.02465303924151951,50
E1_a100_N16,A,in,300.0,end,0.15771735909855716,0.07802770346020206,50
E1_a100_N16,A,in,300.0,post,0.1543229627633183,0.037055740444263845,50
E1_a100_N16,A,in,300.0,pre,0.14201365268889415,0.03422133700765752,50
E1_a100_N16,A,in,1000.0,all,0.14531034247547253,0.024652019686363835,50
E1_a100_N16,A,in,1000.0,end,0.1584301801239062,0.07808079622587225,50
E1_a100_N16,A,in,1000.0,post,0.15528375467396896,0.03746713349372885,50
E1_a100_N16,A,in,1000.0,pre,0.14292555346752056,0.03433397716929317,50
E1_a100_N16,A,legs,0.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,0.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,0.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,0.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,0.01,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,0.01,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,0.01,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,0.01,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,0.03,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,0.03,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,0.03,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,0.03,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,0.1,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,0.1,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,0.1,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,0.1,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,0.3,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,0.3,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,0.3,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,0.3,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,1.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,1.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,1.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,1.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,3.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,3.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,3.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,3.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,10.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,10.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,10.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,10.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,30.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,30.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,30.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,30.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,100.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,100.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,100.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,100.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,300.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,300.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,300.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,300.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,legs,1000.0,all,0.5155970702780046,0.07427474649712378,50
E1_a100_N16,A,legs,1000.0,end,0.5591990851662758,0.2382543999131326,50
E1_a100_N16,A,legs,1000.0,post,0.5521100403917528,0.10855239080096164,50
E1_a100_N16,A,legs,1000.0,pre,0.5094984076292856,0.10643219765802914,50
E1_a100_N16,A,point,0.0,all,2.579114650540261,0.3465281933052037,50
E1_a100_N16,A,point,0.0,end,1.3471224522916276,0.5681121285787338,50
E1_a100_N16,A,point,0.0,post,2.762585645290364,0.5219055173521912,50
E1_a100_N16,A,point,0.0,pre,2.5492795627057947,0.5069118692932809,50
E1_a100_N16,A,point,0.01,all,2.5621291424298085,0.344407987257021,50
E1_a100_N16,A,point,0.01,end,1.3382884175386898,0.5642062618698699,50
E1_a100_N16,A,point,0.01,post,2.744460781775443,0.5188197228959376,50
E1_a100_N16,A,point,0.01,pre,2.5324609575288903,0.503751710360236,50
E1_a100_N16,A,point,0.03,all,2.529072321287484,0.3403000224691231,50
E1_a100_N16,A,point,0.03,end,1.3210990813083094,0.5566274416772847,50
E1_a100_N16,A,point,0.03,post,2.7091850409657217,0.5128200645494466,50
E1_a100_N16,A,point,0.03,pre,2.4997290015202465,0.49760989311250875,50
E1_a100_N16,A,point,0.1,all,2.422116549251653,0.32714765546561775,50
E1_a100_N16,A,point,0.1,end,1.2655117597996801,0.5322947560477425,50
E1_a100_N16,A,point,0.1,post,2.5950353040398886,0.49343698454706353,50
E1_a100_N16,A,point,0.1,pre,2.3938252550634176,0.4777978233257035,50
E1_a100_N16,A,point,0.3,all,2.1751967766151266,0.2971995298655537,50
E1_a100_N16,A,point,0.3,end,1.1373467934894006,0.47698804284813834,50
E1_a100_N16,A,point,0.3,post,2.3314108744775464,0.4485111085852228,50
E1_a100_N16,A,point,0.3,pre,2.1493475847918257,0.4321670039330691,50
E1_a100_N16,A,point,1.0,all,1.6743368463504062,0.23435431451138317,50
E1_a100_N16,A,point,1.0,end,0.8781204936266989,0.3664171831687791,50
E1_a100_N16,A,point,1.0,post,1.7961324970312627,0.3533204051967613,50
E1_a100_N16,A,point,1.0,pre,1.6535867174229089,0.3376281585644068,50
E1_a100_N16,A,point,3.0,all,1.1645770196914746,0.16012000021,50
E1_a100_N16,A,point,3.0,end,0.6156668834571046,0.2523099010605218,50
E1_a100_N16,A,point,3.0,post,1.2502939364348593,0.24510172487541387,50
E1_a100_N16,A,point,3.0,pre,1.149475874150668,0.23383727530951395,50
E1_a100_N16,A,point,10.0,all,0.8004942756808073,0.10279970915202105,50
E1_a100_N16,A,point,10.0,end,0.42925765054275467,0.17011545763332486,50
E1_a100_N16,A,point,10.0,post,0.8598255922514982,0.16573084507168923,50
E1_a100_N16,A,point,10.0,pre,0.7898477833819811,0.15604729374268705,50
E1_a100_N16,A,point,30.0,all,0.6509330680978082,0.08175472722966469,50
E1_a100_N16,A,point,30.0,end,0.35253025206806116,0.1364356649633907,50
E1_a100_N16,A,point,30.0,post,0.6996846679526608,0.1364588533827304,50
E1_a100_N16,A,point,30.0,pre,0.6418851668899527,0.12528681184012697,50
E1_a100_N16,A,point,100.0,all,0.5983856320122002,0.0752987125389697,50
E1_a100_N16,A,point,100.0,end,0.3257172668892522,0.12326766359285653,50
E1_a100_N16,A,point,100.0,post,0.6432316322674407,0.12143611051686068,50
E1_a100_N16,A,point,100.0,pre,0.589770976051376,0.11667049268623976,50
E1_a100_N16,A,point,300.0,all,0.5886250250754196,0.07522290372151286,50
E1_a100_N16,A,point,300.0,end,0.32112960780226446,0.12069534398966762,50
E1_a100_N16,A,point,300.0,post,0.6325534911080939,0.11681112102504888,50
E1_a100_N16,A,point,300.0,pre,0.580136331660868,0.11667130681661088,50
E1_a100_N16,A,point,1000.0,all,0.5871932739072799,0.07535304886415725,50
E1_a100_N16,A,point,1000.0,end,0.32067290849719526,0.12031648548873412,50
E1_a100_N16,A,point,1000.0,post,0.6309521978261328,0.11588888272310158,50
E1_a100_N16,A,point,1000.0,pre,0.578740802279102,0.11689567850105453,50
E1_a100_N4,A,cur,0.0,all,0.8297893653107781,0.4536342138462646,50
E1_a100_N4,A,cur,0.0,end,1.1127199317166123,0.8484761893152929,50
E1_a100_N4,A,cur,0.0,post,1.2052155765035089,0.8291810528985141,50
E1_a100_N4,A,cur,0.0,pre,0.856654697186633,0.6134206466933347,50
E1_a100_N4,A,cur,0.01,all,0.8242320859737959,0.45044402970835806,50
E1_a100_N4,A,cur,0.01,end,1.1054339710423802,0.8431384278888238,50
E1_a100_N4,A,cur,0.01,post,1.1974016294935312,0.8241129511770436,50
E1_a100_N4,A,cur,0.01,pre,0.8508072755154273,0.6089271108996038,50
E1_a100_N4,A,cur,0.03,all,0.813456135478141,0.4442398964355235,50
E1_a100_N4,A,cur,0.03,end,1.0912530037150678,0.8327471384086422,50
E1_a100_N4,A,cur,0.03,post,1.1821927021385323,0.8142478195257974,50
E1_a100_N4,A,cur,0.03,pre,0.8394961244353439,0.6001902938899679,50
E1_a100_N4,A,cur,0.1,all,0.7789707460217384,0.424194123537351,50
E1_a100_N4,A,cur,0.1,end,1.045359492163741,0.7990977135029737,50
E1_a100_N4,A,cur,0.1,post,1.132969096268227,0.782311303389997,50
E1_a100_N4,A,cur,0.1,pre,0.8035630865511876,0.5719752527868741,50
E1_a100_N4,A,cur,0.3,all,0.7019586994581725,0.37788253570304664,50
E1_a100_N4,A,cur,0.3,end,0.9393431813237422,0.7212396993115597,50
E1_a100_N4,A,cur,0.3,post,1.0192370335001864,0.7084433650250122,50
E1_a100_N4,A,cur,0.3,pre,0.7251363888605716,0.5068201753936821,50
E1_a100_N4,A,cur,1.0,all,0.5619861983512373,0.28201014573978506,50
E1_a100_N4,A,cur,1.0,end,0.7239123261194236,0.5624611425846308,50
E1_a100_N4,A,cur,1.0,post,0.7880999941948232,0.5576141870670748,50
E1_a100_N4,A,cur,1.0,pre,0.5933176533730717,0.3719909805530288,50
E1_a100_N4,A,cur,3.0,all,0.4583830541418661,0.1811755809364769,50
E1_a100_N4,A,cur,3.0,end,0.5036575938714594,0.40010733688979916,50
E1_a100_N4,A,cur,3.0,post,0.5526844615058966,0.4016064899026127,50
E1_a100_N4,A,cur,3.0,pre,0.517161694223022,0.2312078223919747,50
E1_a100_N4,A,cur,10.0,all,0.42677669697545406,0.12029897314517052,50
E1_a100_N4,A,cur,10.0,end,0.3475409622316951,0.29080755666562585,50
E1_a100_N4,A,cur,10.0,post,0.38858375462877803,0.2901378140058352,50
E1_a100_N4,A,cur,10.0,pre,0.5166301160100355,0.14205709210275466,50
E1_a100_N4,A,cur,30.0,all,0.432239023020451,0.10900109998720679,50
E1_a100_N4,A,cur,30.0,end,0.29073158285075723,0.25830330621575237,50
E1_a100_N4,A,cur,30.0,post,0.3303180849217718,0.25399989512243903,50
E1_a100_N4,A,cur,30.0,pre,0.5373040579704665,0.11872992357657856,50
E1_a100_N4,A,cur,100.0,all,0.44247098736152024,0.10933945771982291,50
E1_a100_N4,A,cur,100.0,end,0.27867527230730316,0.25284919936271516,50
E1_a100_N4,A,cur,100.0,post,0.3189805918618933,0.2511984376989205,50
E1_a100_N4,A,cur,100.0,pre,0.5536750986031471,0.1146398950546358,50
E1_a100_N4,A,cur,300.0,all,0.44800237209058075,0.11035664521637224,50
E1_a100_N4,A,cur,300.0,end,0.2797084579766412,0.25278899409152794,50
E1_a100_N4,A,cur,300.0,post,0.3211954665880131,0.2539460813629836,50
E1_a100_N4,A,cur,300.0,pre,0.5608084477592326,0.11427878354669938,50
