cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
R3_drift,B,pre,hist-cur,50,0.0011749944736624397,0.0007371350052704239,0.0015699799252409739,7,43,0.019033568891092652
R3_drift,B,pre,hist-in,50,-1.926652382454319e-07,-7.395574105144506e-07,3.615954926379125e-07,27,23,-3.06265408285722e-06
R3_drift,B,pre,in-cur,50,0.001175187138900685,0.0007349592973168077,0.001560458374221559,7,43,0.019036689847971393
R3_drift,B,pre,hist-legs,50,-0.00033239942285233067,-0.0004957887722894557,-0.00017417362779818886,36,14,-0.005256146229938727
R3_drift,B,pre,cur-legs,50,-0.0015073938965147705,-0.0019040666158790147,-0.0010489474187259393,43,7,-0.023836030394428838
R3_many,A,all,hist-cur,50,-0.0010143441773623966,-0.0012057371932176534,-0.0008368027395111687,49,1,-0.015053588900255153
R3_many,A,all,hist-in,50,1.138091981027628e-06,-1.3895885863799904e-07,2.509050160353653e-06,19,31,1.7148530879093726e-05
R3_many,A,all,in-cur,50,-0.0010154822693434244,-0.001207176385774859,-0.0008388790812277515,49,1,-0.015070478994559848
R3_many,A,all,hist-legs,50,-0.001959519567273063,-0.0022049135341438712,-0.001703325768218562,49,1,-0.028678389885093785
R3_many,A,all,cur-legs,50,-0.0009451753899106663,-0.0012492546561500356,-0.0006079048026992187,40,10,-0.013833037849872278
R3_many,A,post,hist-cur,50,0.0003126949227552071,0.0002604636745715295,0.00037068882924673344,1,49,0.0037122534517101203
R3_many,A,post,hist-in,50,3.238703429200851e-07,-3.275155767730291e-06,4.088270563996192e-06,27,23,3.8307199968784245e-06
R3_many,A,post,in-cur,50,0.00031237105241228706,0.0002559965191787823,0.00036826978241327773,1,49,0.0037084085258385453
R3_many,A,post,hist-legs,50,-0.003650373597634082,-0.004219935543394141,-0.0031021726077431313,49,1,-0.041389214987926345
R3_many,A,post,cur-legs,50,-0.003963068520389289,-0.004554097907114131,-0.003426039912451144,49,1,-0.04493465959445553
R3_many,A,pre,hist-cur,50,-0.001486022461769938,-0.0017120887809045206,-0.0012674946977352768,49,1,-0.022279860528171817
R3_many,A,pre,hist-in,50,2.007365588915927e-06,4.933736809756666e-07,3.678115272040136e-06,23,27,3.0783101657354985e-05
R3_many,A,pre,in-cur,50,-0.0014880298273588538,-0.0017177645262600701,-0.0012704380838235683,49,1,-0.022309956860159172
R3_many,A,pre,hist-legs,50,-0.0016874158719054125,-0.0020046459515601685,-0.001359060562394697,46,4,-0.025223180940690447
R3_many,A,pre,cur-legs,50,-0.00020139341013547475,-0.0005757319926673407,0.00018948706972276292,31,19,-0.0030103915156218857
R3_many,B,all,hist-cur,50,0.0009368718415965556,0.0007455762378349223,0.0011316432332903188,3,47,0.015204440394477551
