cell,scenario,method,segment,mean,std,count,alpha
R3_noisy_maps,B,in,post,0.06525683428446497,0.00833365133819707,50,0.03
R3_noisy_maps,B,in,pre,0.06362701236056688,0.007816528662605226,50,0.03
R3_noisy_maps,B,legs,all,0.06373798014765185,0.0018236647027229129,50,0.0
R3_noisy_maps,B,legs,post,0.06636967298926337,0.008539690196672457,50,0.0
R3_noisy_maps,B,legs,pre,0.06359564228715474,0.007872915579224222,50,0.0
R3_noisy_maps,B,point,all,0.26979898238248334,0.011632737000110855,50,1.0
R3_noisy_maps,B,point,post,0.23572819013258922,0.02807031514518723,50,1.0
R3_noisy_maps,B,point,pre,0.30476996490509967,0.02393034367952751,50,1.0
R3_tau_shift,A,cur,all,0.08611166870698746,0.012523949022754851,50,0.03
R3_tau_shift,A,cur,post,0.08612129656691109,0.01989870102308869,50,0.03
R3_tau_shift,A,cur,pre,0.09202228146404623,0.022912223285890775,50,0.03
R3_tau_shift,A,hist,all,0.08578482411393376,0.012400888953428434,50,0.1
R3_tau_shift,A,hist,post,0.0894851493345649,0.020119974056997943,50,0.1
R3_tau_shift,A,hist,pre,0.08772969545610676,0.021479762370285184,50,0.1
R3_tau_shift,A,in,all,0.08578297228009807,0.01240230949788545,50,0.1
R3_tau_shift,A,in,post,0.0894832975698716,0.02012805045679598,50,0.1
R3_tau_shift,A,in,pre,0.08772929534925598,0.021479369825220817,50,0.1
R3_tau_shift,A,legs,all,0.08650675294646054,0.012560732890512101,50,0.0
R3_tau_shift,A,legs,post,0.08756311531498319,0.020370377905416834,50,0.0
R3_tau_shift,A,legs,pre,0.09140834923561353,0.022929514039308867,50,0.0
R3_tau_shift,A,point,all,0.22998476333484225,0.032421314490821564,50,3.0
R3_tau_shift,A,point,post,0.2510751143633049,0.04499746870611159,50,3.0
R3_tau_shift,A,point,pre,0.21832430745088702,0.04741596095765062,50,3.0
R3_tau_shift,B,cur,all,0.06194756597176873,0.0024126990335292795,50,0.1
R3_tau_shift,B,cur,post,0.06277333722241302,0.009748272446893873,50,0.1
R3_tau_shift,B,cur,pre,0.06501724327065528,0.010239186154816156,50,0.1
R3_tau_shift,B,hist,all,0.06310734029148399,0.0019966119169982526,50,0.03
R3_tau_shift,B,hist,post,0.06345295964513355,0.009667166006326656,50,0.03
R3_tau_shift,B,hist,pre,0.0666865959482224,0.010032495548489657,50,0.03
R3_tau_shift,B,in,all,0.06310728424967824,0.0019966148631704607,50,0.03
R3_tau_shift,B,in,post,0.06345241477095151,0.00966728072615998,50,0.03
R3_tau_shift,B,in,pre,0.0666869636489886,0.010031944791237571,50,0.03
R3_tau_shift,B,legs,all,0.06359587018124929,0.0020111304189723333,50,0.0
R3_tau_shift,B,legs,post,0.06429938912443003,0.009934777581870217,50,0.0
R3_tau_shift,B,legs,pre,0.06689004209682396,0.010357653502664124,50,0.0
R3_tau_shift,B,point,all,0.2727133729113705,0.015681362583145696,50,1.0
R3_tau_shift,B,point,post,0.2443551738989255,0.03419313660109146,50,1.0
R3_tau_shift,B,point,pre,0.3124865137597409,0.03238600072738366,50,1.0
d3_theta45,A,cur,all,0.0802083893707046,0.007511897619452848,50,0.03
d3_theta45,A,cur,post,0.0814043416143566,0.012129119971924042,50,0.03
d3_theta45,A,cur,pre,0.08216850811472053,0.013980536831653834,50,0.03
d3_theta45,A,hist,all,0.07914929988286602,0.007813297253873152,50,0.1
d3_theta45,A,hist,post,0.08115439539158936,0.012437011305405234,50,0.1
d3_theta45,A,hist,pre,0.08024323748988899,0.014055837839531378,50,0.1
d3_theta45,A,in,all,0.07914383303703681,0.007810786126441349,50,0.1
