cell,scenario,method,alpha,segment,mean,std,count
N32,B,cur,10.0,post,0.19577406502551448,0.06415661434320184,50
N32,B,cur,10.0,pre,0.20168554283447637,0.06220532713048464,50
N32,B,cur,30.0,all,0.21218152255822784,0.06081563616201628,50
N32,B,cur,30.0,post,0.21552599164892072,0.07162891894979113,50
N32,B,cur,30.0,pre,0.22225193536518095,0.06919505543073813,50
N32,B,cur,100.0,all,0.22198767630167626,0.06398979365548527,50
N32,B,cur,100.0,post,0.2253725905758956,0.07544568282923807,50
N32,B,cur,100.0,pre,0.23263501956310748,0.0724761129445696,50
N32,B,hist,0.0,all,0.08856859197740058,0.0017337860269939108,50
N32,B,hist,0.0,post,0.08938045529635627,0.013181084005405979,50
N32,B,hist,0.0,pre,0.09334475370141185,0.014549298147733437,50
N32,B,hist,0.01,all,0.08803740510642,0.0017233397532447096,50
N32,B,hist,0.01,post,0.08882179507505411,0.013085669944940233,50
N32,B,hist,0.01,pre,0.0928043491250489,0.01443738566397642,50
N32,B,hist,0.03,all,0.08732324572370466,0.0017225331066211115,50
N32,B,hist,0.03,post,0.08784228417251753,0.012918360909995328,50
N32,B,hist,0.03,pre,0.09229497135681256,0.01417628128757301,50
N32,B,hist,0.1,all,0.08797437846695294,0.002289085459452454,50
N32,B,hist,0.1,post,0.08569577714331138,0.012590971333727479,50
N32,B,hist,0.1,pre,0.0955511190493837,0.013088323908674966,50
N32,B,hist,0.3,all,0.10498296137253865,0.00850917824157339,50
N32,B,hist,0.3,post,0.08695564846642943,0.014304963298135524,50
N32,B,hist,0.3,pre,0.12589138844037895,0.01303448193298886,50
N32,B,hist,1.0,all,0.1762506230275774,0.024694084165861867,50
N32,B,hist,1.0,post,0.11225709510204396,0.028929514117540082,50
N32,B,hist,1.0,pre,0.23047118287139665,0.022263385946246578,50
N32,B,hist,3.0,all,0.2694853105580412,0.04015146262178429,50
N32,B,hist,3.0,post,0.15814664609940338,0.04819061200993301,50
N32,B,hist,3.0,pre,0.35815685440269435,0.03043689510953353,50
N32,B,hist,10.0,all,0.3472312624003295,0.051745295697655465,50
N32,B,hist,10.0,post,0.20223201714468375,0.06284376713396117,50
N32,B,hist,10.0,pre,0.4618083144839021,0.03490906239810939,50
N32,B,hist,30.0,all,0.3891619990226717,0.056312016980135396,50
N32,B,hist,30.0,post,0.23262091088632833,0.06879544757411885,50
N32,B,hist,30.0,pre,0.5147205471855143,0.03585715387526857,50
N32,B,hist,100.0,all,0.4180828536815418,0.057549631459595095,50
N32,B,hist,100.0,post,0.2618722983061087,0.07201543306261796,50
N32,B,hist,100.0,pre,0.5471544871926903,0.03579703782512323,50
N32,B,in,0.0,all,0.08856859198201249,0.001733786021685232,50
N32,B,in,0.0,post,0.08938045530187848,0.013181084005497142,50
N32,B,in,0.0,pre,0.09334475370521829,0.014549298145096099,50
N32,B,in,0.01,all,0.08803747929382771,0.001723457313090092,50
N32,B,in,0.01,post,0.08882191030271004,0.013085803959110475,50
N32,B,in,0.01,pre,0.09280441418235938,0.014437549295874225,50
N32,B,in,0.03,all,0.08732348225750006,0.0017228910404673513,50
N32,B,in,0.03,post,0.08784265719590013,0.012918771527895482,50
N32,B,in,0.03,pre,0.09229516900779464,0.014176783666720403,50
N32,B,in,0.1,all,0.08797479435670247,0.002289710393864659,50
N32,B,in,0.1,post,0.0856969740123415,0.01259232945964123,50
N32,B,in,0.1,pre,0.09555110207408983,0.013089881515115627,50
N32,B,in,0.3,all,0.10497554037074855,0.00850762633371351,50
